ranking,company,previous_rank,revenues,revenue_change,profits,profit_change,assets,market_value,company_rating,employees,employee_bin
86,American Express,85,33823,-0.018,5408,0.05,158893,71193,4.2,56400,50000-100000
166,PNC Financial Services Group,171,16423,0.009,3903,-0.05,366380,58455,3.6,50683,50000-100000
35,Johnson & Johnson,39,71890,0.026,16540,0.07,141208,337642,4.2,126400,100000+
383,Tesla,588,7000,0.73,-675,,22664,45390,3.6,30025,10000-50000
36,Procter & Gamble,34,71726,-0.089,10508,0.49,127136,229700,4.1,105000,100000+
97,Northwestern Mutual,100,28799,0.024,818,0,250441,,4,5646,0-10000
58,FedEx,58,50365,0.061,1820,0.73,46064,52178,3.6,335767,100000+
154,Thermo Fisher Scientific,164,18274,0.077,2022,0.02,45908,59964,3.8,54800,50000-100000
71,Delta Air Lines,68,39639,-0.026,4373,-0.03,51261,33586,4.3,83756,50000-100000
178,Gap,177,15516,-0.018,676,-0.27,7610,9712,3.8,135000,100000+
236,Sherwin-Williams,253,11856,0.046,1133,0.08,6753,28891,3.8,42550,10000-50000
159,Cummins,148,17509,-0.084,1394,0,15011,25397,4.2,55400,50000-100000
54,Pfizer,55,52824,0.081,7215,0.04,171615,203725,4.1,96500,50000-100000
102,USAA,114,27131,0.114,1779,-0.22,147290,,3.5,29943,10000-50000
53,Humana,52,54379,0.002,614,-0.52,25396,29743,3.9,51600,50000-100000
161,AECOM,156,17411,-0.032,96,,13727,5528,3.8,87000,50000-100000
74,Caterpillar,59,38537,-0.18,-67,-1.03,74704,54402,4,95400,50000-100000
55,AIG,49,52367,-0.102,-849,-1.39,498264,61154,3.6,56400,50000-100000
174,CarMax,191,15833,0.064,623,0.04,14482,11081,3.8,22429,10000-50000
69,Merck,72,39807,0.008,3920,-0.12,95377,174454,4.2,68000,50000-100000
357,Charles Schwab,401,7644,0.176,1889,0.31,223383,54555,4.1,16200,10000-50000
310,eBay,300,8979,-0.054,7266,3.21,23847,36232,4.1,12600,10000-50000
252,Stryker,287,11325,0.139,1647,0.15,20435,49115,4.1,33000,10000-50000
498,Yahoo,513,5169,0.04,-214,,48083,44391,4,8500,0-10000
255,BlackRock,250,11155,-0.022,3172,-0.05,220177,62225,4,13000,10000-50000
206,Texas Instruments,219,13370,0.028,3595,0.2,16431,80531,4.1,29865,10000-50000
68,Nationwide,69,40074,-0.004,334,-0.42,197790,,4,34320,10000-50000
42,MetLife,40,63476,-0.093,800,-0.85,898764,57429,4,58000,50000-100000
5,McKesson,5,192487,0.062,2258,0.53,56563,31439,3.8,68000,50000-100000
66,Centene,124,40721,0.786,562,0.58,20197,12271,3.8,30500,10000-50000
94,3M,93,30109,-0.005,5050,0.05,32906,114338,3.8,91584,50000-100000
226,Micron Technology,173,12399,-0.234,-276,-1.1,27540,31972,3.8,31400,10000-50000
138,Southwest Airlines,142,20425,0.031,2244,0.03,23286,33076,4.1,53536,50000-100000
217,Western Digital,194,12994,-0.108,242,-0.84,32862,23775,3.8,72878,50000-100000
409,NCR,409,6543,0.027,270,,7673,5620,3.6,33500,10000-50000
173,Halliburton,117,15887,-0.328,-5763,,27000,42662,3.7,50000,10000-50000
265,Applied Materials,295,10825,0.121,1721,0.25,14588,42005,4.1,16150,10000-50000
499,Vistra Energy,,5164,,,,15167,6968,3.9,4431,0-10000
19,Chevron,14,107567,-0.18,-497,-1.11,260078,203263,4.1,55200,50000-100000
123,Amgen,130,22991,0.061,7722,0.11,77626,120830,4.1,19200,10000-50000
366,Quest Diagnostics,358,7515,0.003,645,-0.09,10100,13501,3.5,43000,10000-50000
468,NetApp,422,5546,-0.094,229,-0.59,10037,11339,4,12030,10000-50000
211,Ecolab,206,13153,-0.029,1230,0.23,18330,36356,3.7,47565,10000-50000
459,S&P Global,481,5661,0.066,2106,0.82,8669,33805,4.1,20000,10000-50000
15,Cardinal Health,21,121546,0.185,1427,0.17,34122,25725,3.7,37300,10000-50000
111,AbbVie,123,25638,0.122,5953,0.16,66099,103838,3.9,30000,10000-50000
327,Boston Scientific,359,8386,0.122,347,,18096,34046,4.1,27000,10000-50000
126,Aflac,135,22559,0.081,2659,0.05,129819,29053,3.8,10212,10000-50000
165,General Mills,161,16563,-0.061,1697,0.39,21712,33998,4.1,39000,10000-50000
199,CDW,220,13982,0.076,424,0.05,6948,9197,4,8516,0-10000
433,Motorola Solutions,451,6038,0.06,560,-0.08,8463,14131,4,14000,10000-50000
484,Regions Financial,453,5389,-0.05,900,1.96,8357,12643,3.5,7293,0-10000
436,Regions Financial,453,5967,0.052,1163,0.1,125968,17512,3.5,22166,10000-50000
92,Gilead Sciences,86,30390,-0.069,13501,-0.25,56977,88788,3.9,9000,0-10000
371,Ralph Lauren,354,7405,-0.028,396,-0.44,6213,6710,3.8,20500,10000-50000
348,Foot Locker,361,7766,0.048,664,0.23,3840,9818,3.6,32965,10000-50000
250,Stanley Black & Decker,256,11407,0.017,965,0.09,15635,20280,3.5,54023,50000-100000
314,Netflix,379,8831,0.303,187,0.52,13587,63619,4.3,3850,0-10000
80,TIAA,82,37105,0.055,1492,0.23,523194,,4,12997,10000-50000
285,Baker Hughes,178,9841,-0.375,-2738,,19034,25444,3.9,33000,10000-50000
113,DuPont,101,24594,-0.12,2513,0.29,39964,69451,3.9,46000,10000-50000
361,Assurant,275,7532,-0.271,565,2.99,29709,5298,3.6,14700,10000-50000
155,Kimberly-Clark,151,18202,-0.021,2166,1.14,14602,46828,4.1,42000,10000-50000
20,Fannie Mae,16,107162,-0.029,12313,0.12,3287968,3011,4.1,7000,0-10000
299,Republic Services,312,9388,0.03,613,-0.18,20630,21312,3.5,33000,10000-50000
396,Tractor Supply,415,6780,0.089,437,0.07,2675,8960,3.6,19500,10000-50000
442,Rockwell Automation,412,5880,-0.068,730,-0.12,7101,20024,3.9,22000,10000-50000
394,Ryder System,395,6787,0.033,263,-0.14,10903,3992,3.6,34500,10000-50000
82,Tyson Foods,66,36881,-0.109,1768,0.45,22373,22028,3.5,114000,100000+
118,Arrow Electronics,119,23825,0.023,523,0.05,14206,6546,3.6,18700,10000-50000
297,MGM Resorts International,309,9455,0.029,1101,,28173,15733,3.7,66500,50000-100000
469,Raymond James Financial,482,5520,0.04,529,0.05,31594,10958,4,11900,10000-50000
248,Biogen,263,11449,0.064,3703,0.04,22877,59046,4,7400,0-10000
133,International Paper,127,21079,-0.058,904,-0.04,33345,20884,3.6,55000,50000-100000
121,Duke Energy,115,23369,-0.01,2152,-0.24,132761,57397,3.8,28798,10000-50000
492,Rockwell Collins,490,5259,-0.001,728,0.06,7707,12711,3.7,19000,10000-50000
286,Ally Financial,298,9835,0.031,1067,-0.17,163728,9437,3.6,7600,0-10000
11,AmerisourceBergen,12,146850,0.08,1428,,33656,19229,3.6,18500,10000-50000
298,Corning,313,9390,0.031,3695,1.76,27899,25030,3.8,40700,10000-50000
440,Lam Research,491,5886,0.119,914,0.39,12272,20903,4,7500,0-10000
149,Fluor,155,19037,0.051,281,-0.32,9216,7353,3.9,61551,50000-100000
182,Colgate-Palmolive,174,15195,-0.052,2441,0.76,12123,64715,4.2,36700,10000-50000
478,Western Union,468,5423,-0.011,253,-0.7,9420,9691,3.8,10700,10000-50000
330,Live Nation Entertainment,366,8355,0.153,3,,6764,6219,4,11500,10000-50000
208,Newell Brands,434,13264,1.221,528,0.51,33838,22787,3.5,53400,50000-100000
129,AutoNation,136,21609,0.036,431,-0.03,10060,4268,3.6,26000,10000-50000
51,Marathon Petroleum,42,55858,-0.135,1174,-0.59,44413,26679,3.6,44460,10000-50000
146,ManpowerGroup,144,19654,0.017,444,0.06,7574,6938,3.9,28000,10000-50000
89,Exelon,95,31360,0.065,1134,-0.5,114904,33309,4,34396,10000-50000
115,ConocoPhillips,90,24360,-0.213,-3615,,89772,61692,4.3,13300,10000-50000
452,United Rentals,440,5762,-0.009,566,-0.03,11988,10561,4.1,12500,10000-50000
474,Mattel,450,5457,-0.043,318,-0.14,6494,8770,3.9,32000,10000-50000
34,Phillips 66,30,72396,-0.169,1555,-0.63,51653,40954,3.5,14800,10000-50000
107,Tech Data,108,26235,-0.005,195,-0.27,7932,3569,3.7,9500,0-10000
437,Intercontinental Exchange,529,5958,0.273,1422,0.12,82003,35530,3.8,5631,0-10000
430,Avery Dennison,435,6087,0.02,321,0.17,4396,7157,4,25000,10000-50000
220,L Brands,234,12574,0.035,1158,-0.08,8170,13426,3.8,59100,50000-100000
243,Henry Schein,268,11572,0.089,507,0.06,6730,13461,4.1,21000,10000-50000
109,Avnet,102,25923,-0.125,1659,-0.77,61538,65676,4,90000,50000-100000
108,Avnet,102,26219,-0.061,507,-0.11,11240,5898,4,17700,10000-50000
458,Owens Corning,480,5677,0.061,393,0.19,7741,6910,3.9,16000,10000-50000
279,United States Steel,244,10261,-0.113,-440,,9160,5893,3.5,29800,10000-50000
175,Freeport-McMoRan,175,15789,-0.006,-4154,,37317,19310,4.1,30000,10000-50000
305,BorgWarner,339,9071,0.131,119,-0.81,8835,8895,3.9,27000,10000-50000
272,DTE Energy,274,10630,0.028,868,0.19,32041,18317,4,10000,0-10000
398,Auto-Owners Insurance,398,6775,0.04,706,-0.13,21571,,3.7,4737,0-10000
278,Occidental Petroleum,225,10398,-0.181,-574,,43109,48444,3.9,11000,10000-50000
230,VF,231,12207,-0.014,1074,-0.13,9739,22786,3.8,69000,50000-100000
300,Alcoa,,9318,,-400,,16741,6337,4.1,14000,10000-50000
228,Alcoa,126,12394,-0.45,-941,,20038,11604,4.1,41500,10000-50000
200,Textron,209,13788,0.027,962,0.38,15358,12851,3.8,36000,10000-50000
266,Voya Financial,252,10782,-0.049,-428,-2.05,214235,7191,3.9,6700,0-10000
256,Xcel Energy,257,11107,0.007,1123,0.14,41155,22546,3.8,11476,10000-50000
37,Valero Energy,32,70166,-0.142,2289,-0.43,46173,29746,4.1,9996,0-10000
434,St. Jude Medical,465,6004,0.084,734,-0.17,12578,,3.8,18000,10000-50000
229,NRG Energy,193,12351,-0.158,-774,,30355,5911,3.8,8763,0-10000
470,TravelCenters of America,439,5511,-0.058,-2,-1.07,1660,241,3.5,20259,10000-50000
167,American Electric Power,165,16380,-0.031,611,-0.7,63468,33009,4,17634,10000-50000
370,AGCO,360,7411,-0.008,160,-0.4,7168,4783,3.9,19795,10000-50000
260,Lennar,301,10950,0.156,912,0.14,15362,12002,3.7,8335,0-10000
215,Kinder Morgan,198,13058,-0.093,708,1.8,80305,48533,3.8,11121,10000-50000
432,Hanesbrands,448,6063,0.058,539,0.26,6908,7733,3.6,67800,50000-100000
232,D.R. Horton,260,12157,0.123,886,0.18,11559,12438,3.7,6976,0-10000
50,United Technologies,45,57244,-0.062,5055,-0.34,89706,89957,3.5,201600,100000+
350,SpartanNash,351,7735,0.011,57,-0.09,1930,1313,4,11500,10000-50000
104,Philip Morris International,106,26685,-0.004,6967,0.01,36851,175349,4.1,79500,50000-100000
331,Veritiv,323,8327,-0.045,21,-0.21,2484,813,3.8,8700,0-10000
362,CenterPoint Energy,363,7528,0.019,432,,21829,11882,3.6,7727,0-10000
431,Ameren,425,6076,-0.004,653,0.04,24699,13245,4,8629,0-10000
304,LKQ,369,9082,0.263,464,0.1,8303,9021,3.9,42500,10000-50000
449,American Tower,526,5786,0.213,956,0.4,30879,51921,3.9,4507,0-10000
497,Toll Brothers,576,5170,0.239,382,0.05,9737,5872,3.6,4200,0-10000
353,PulteGroup,433,7669,0.282,603,0.22,10178,7466,4,4623,0-10000
373,WESCO International,357,7336,-0.024,102,-0.52,4491,3389,3.7,9000,0-10000
90,General Dynamics,88,31353,-0.004,2955,0,32872,56791,3.7,98800,50000-100000
283,Autoliv,310,10074,0.099,567,0.24,8234,9032,3.7,65900,50000-100000
209,Land O'Lakes,215,13233,0.006,245,-0.2,8305,,3.9,10000,0-10000
302,Pacific Life,326,9169,0.061,824,0.25,143298,,4,3628,0-10000
2,Berkshire Hathaway,4,223604,0.061,24074,0,620854,411035,4.2,367700,100000+
408,Constellation Brands,429,6548,0.086,1055,0.26,16965,31775,4,9000,0-10000
359,Anixter International,391,7625,0.156,121,-0.06,4094,2626,3.5,8900,0-10000
406,Activision Blizzard,532,6608,0.417,966,0.08,17452,37487,3.6,9500,0-10000
358,Eversource Energy,343,7639,-0.04,942,0.07,32053,18627,3.6,7762,0-10000
367,Williams,364,7499,0.019,-424,,46835,24436,3.9,5604,0-10000
456,Ingredion,456,5704,0.015,485,0.21,5782,8646,3.7,11000,10000-50000
144,Danaher,133,19912,-0.048,2554,-0.24,45295,59359,3.9,62000,50000-100000
341,Weyerhaeuser,373,7902,0.116,1027,1.03,19243,25451,3.6,10400,10000-50000
24,Boeing,24,94571,-0.016,4895,-0.05,89997,107546,3.9,150540,100000+
293,Fidelity National Financial,311,9554,0.046,650,0.23,14463,10600,3.6,55219,50000-100000
114,Northrop Grumman,118,24508,0.042,2200,0.11,25614,41577,4.1,67000,50000-100000
169,Nucor,170,16208,-0.014,796,1.23,15224,19051,4.1,23900,10000-50000
343,Chesapeake Energy,223,7872,-0.383,-4401,,13028,5394,3.6,3300,0-10000
254,Celgene,305,11229,0.213,1999,0.25,28086,96802,4,7132,0-10000
382,Erie Insurance Group,411,7016,0.057,742,0.11,18417,,4,4988,0-10000
103,World Fuel Services,92,27016,-0.111,127,-0.28,5413,2535,3.6,5000,0-10000
142,Penske Automotive Group,143,20143,0.04,343,0.05,8861,4001,4.1,24000,10000-50000
196,FirstEnergy,188,14156,-0.031,-6177,,43148,14118,3.5,15707,10000-50000
263,Entergy,247,10846,-0.058,-584,,45904,13685,3.8,13513,10000-50000
344,Anadarko Petroleum,324,7869,-0.095,-3071,,45564,34640,4.3,4500,0-10000
421,Builders FirstSource,637,6367,0.786,144,,2910,1669,4.1,14000,10000-50000
446,NVR,498,5835,0.129,425,0.11,2644,7851,3.7,4900,0-10000
183,PPG Industries,182,15178,-0.01,877,-0.38,15769,26970,3.5,47000,10000-50000
287,Sonic Automotive,297,9732,0.011,93,0.08,3639,900,3.6,9800,0-10000
465,Symantec,400,5568,-0.144,2488,1.83,11767,18986,3.9,11000,10000-50000
482,Chemours,,5400,,7,,6060,7080,3.7,7000,0-10000
377,Mosaic,316,7163,-0.195,298,-0.7,16841,10242,4.5,8700,0-10000
424,Amphenol,462,6286,0.129,823,0.08,8499,21897,3.7,62000,50000-100000
231,Devon Energy,216,12197,-0.072,-3302,,25913,21886,3.8,3545,0-10000
365,PPL,350,7517,-0.02,1902,1.79,38315,25448,4,12689,10000-50000
246,Reinsurance Group of America,271,11522,0.106,701,0.4,53098,8169,4,2371,0-10000
38,Target,38,69495,-0.058,2737,-0.19,37431,30502,3.6,323000,100000+
112,McDonald's,109,24622,-0.031,4687,0.04,31024,106150,3.5,375000,100000+
32,IBM,31,79919,-0.031,11872,-0.1,117470,164251,4,414400,100000+
28,Microsoft,25,85320,-0.088,16798,0.38,193694,508935,4.4,114000,100000+
205,Cognizant Technology Solutions,230,13487,0.086,1553,-0.04,14262,36226,3.8,260200,100000+
131,Starbucks,146,21316,0.112,2818,0.02,14330,85092,3.7,254000,100000+
3,Apple,3,215639,-0.077,45687,-0.14,321686,753718,4.2,116000,100000+
25,Wells Fargo,27,94176,0.046,21938,-0.04,1930115,278516,3.7,269100,100000+
81,Oracle,77,37047,-0.031,8901,-0.1,112180,183556,3.9,136000,100000+
9,AT&T,10,163786,0.116,12976,-0.03,403821,255679,3.7,268540,100000+
46,UPS,48,60906,0.044,3431,-0.29,40377,93276,3.5,335520,100000+
119,Qualcomm,110,23554,-0.068,5705,0.08,52359,84694,4.1,30500,10000-50000
60,Cisco Systems,54,49247,0.002,10739,0.2,121652,169266,4.3,73700,50000-100000
72,Best Buy,71,39403,-0.009,1228,0.37,13856,15193,3.7,125000,100000+
14,Verizon,13,125980,-0.043,13127,-0.27,244180,198900,3.9,160900,100000+
41,Dell Technologies,,64806,0.181,-1672,,118206,,4.3,138000,100000+
188,Nordstrom,197,14757,0.022,354,-0.41,7858,7770,3.7,72500,50000-100000
240,ADP,248,11668,0.017,1493,0.03,43670,45963,4,57000,50000-100000
76,Morgan Stanley,78,37949,0.001,5979,-0.02,814949,79947,4,55311,50000-100000
31,Comcast,37,80403,0.079,8695,0.07,180500,178258,3.8,159000,100000+
24,Boeing,24,94571,-0.016,4895,-0.05,89997,107546,3.9,150540,100000+
176,Whole Foods Market,181,15724,0.022,507,-0.05,6341,9468,3.5,73515,50000-100000
56,Lockheed Martin,60,50658,0.098,5302,0.47,47806,77557,4.1,97000,50000-100000
6,UnitedHealth Group,6,184840,0.177,7017,0.21,122810,157793,3.7,230000,100000+
44,PepsiCo,44,62799,-0.004,6329,0.16,74129,159763,4,264000,100000+
163,Marriott International,195,17072,0.179,780,-0.09,24140,36124,4,226500,100000+
114,Northrop Grumman,118,24508,0.042,2200,0.11,25614,41577,4,67000,50000-100000
460,Markel,476,5612,0.045,456,-0.22,25875,13623,4,10900,10000-50000
487,Essendant,477,5369,0.001,64,,2164,568,3.6,6600,0-10000
345,Interpublic Group,355,7847,0.031,609,0.34,12485,9648,3.8,49800,10000-50000
400,Calpine,402,6716,0.038,92,-0.61,19317,3989,4.1,2372,0-10000
240,ADP,248,11668,0.017,1493,0.03,43670,45963,4.1,57000,50000-100000
25,Wells Fargo,27,94176,0.046,21938,-0.04,1930115,278516,3.5,269100,100000+
179,Omnicom Group,186,15417,0.019,1149,0.05,23165,20219,3.6,78500,50000-100000
53,Humana,52,54379,0.002,614,-0.52,25396,29743,4,51600,50000-100000
372,Masco,345,7357,-0.069,491,0.38,5137,10888,4,26000,10000-50000
88,Nike,91,32376,0.058,3760,0.15,21396,92204,4.2,70700,50000-100000
355,Quanta Services,352,7651,0.002,198,-0.36,5354,5386,4.1,28100,10000-50000
249,Las Vegas Sands,241,11410,-0.024,1670,-0.15,20469,45313,4,49000,10000-50000
334,Global Partners,276,8240,-0.201,-199,-5.58,2564,663,3.9,1770,0-10000
119,Qualcomm,110,23554,-0.068,5705,0.08,52359,84694,4.1,30500,10000-50000
225,Becton Dickinson,278,12483,0.214,976,0.4,25586,39041,3.9,50928,50000-100000
490,Kelly Services,467,5277,-0.044,121,1.25,2028,836,3.7,7500,0-10000
94,3M,93,30109,-0.005,5050,0.05,32906,114338,3.9,91584,50000-100000
347,Steel Dynamics,356,7777,0.024,382,,6424,8425,4.4,7695,0-10000
368,WEC Energy Group,437,7472,0.261,939,0.47,30123,19134,3.7,8074,0-10000
